epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,123.392,0.58621,2.47,0.96068,0.90504,0.93605,0.94691,0.69705,0.65451,3.38805,0.98486,0.00265079,0.00265079,0.00265079
113,124.472,0.51296,2.38114,0.91043,0.90001,0.90762,0.94406,0.68908,0.67407,3.43561,0.98691,0.00264473,0.00264473,0.00264473
114,125.602,0.52838,2.4006,0.90902,0.88882,0.90909,0.94315,0.69502,0.67244,3.44174,0.9828,0.00263863,0.00263863,0.00263863
115,126.705,0.52986,2.54086,0.93735,0.89968,0.92145,0.9458,0.68516,0.72003,3.13121,1.03453,0.00263248,0.00263248,0.00263248
116,127.8,0.53754,2.37261,0.96741,0.86949,0.94988,0.94198,0.66804,0.7415,3.18623,1.05371,0.00262629,0.00262629,0.00262629
117,128.885,0.50496,2.41851,0.91033,0.86667,0.93391,0.95075,0.66272,0.73536,3.18602,1.06617,0.00262005,0.00262005,0.00262005
118,129.956,0.5686,2.64551,0.93399,0.86667,0.93391,0.95075,0.66272,0.73536,3.18602,1.06617,0.00261377,0.00261377,0.00261377
119,131.052,0.59152,2.64923,0.99279,0.89878,0.89943,0.95258,0.69195,0.71448,3.11946,1.04377,0.00260745,0.00260745,0.00260745
120,132.204,0.5512,2.59331,0.92904,0.87426,0.94893,0.95577,0.69193,0.71518,3.10815,1.03914,0.00260108,0.00260108,0.00260108
121,133.282,0.54993,2.98737,1.01215,0.90222,0.90394,0.95199,0.6774,0.72156,3.20457,1.06868,0.00259467,0.00259467,0.00259467
122,134.365,0.55612,2.70031,0.93845,0.94595,0.90377,0.95633,0.68416,0.73667,3.13952,1.04414,0.00258822,0.00258822,0.00258822
123,135.45,0.53407,2.50283,0.95339,0.89959,0.88889,0.94342,0.69692,0.72731,3.22469,1.02739,0.00258172,0.00258172,0.00258172
124,136.55,0.54227,2.56279,0.93694,0.87339,0.94264,0.94377,0.68728,0.74146,3.41734,1.0534,0.00257518,0.00257518,0.00257518
125,137.644,0.5409,3.1903,0.94768,0.97395,0.77273,0.93117,0.67602,0.76237,3.84692,1.07582,0.0025686,0.0025686,0.0025686
126,138.702,0.50129,2.48134,0.89833,0.97395,0.77273,0.93117,0.67602,0.76237,3.84692,1.07582,0.00256198,0.00256198,0.00256198
